veve_uuid,series_uuid,supply,first_public,edition_type
02192d97-a112-4cc2-9895-d7487d4d0a13,3f12cd4e-fe6e-48fa-8024-aa5c3adfbc71,2000,149,221
021a0f25-f1cc-4ca1-a4da-aaef416c7b05,6306c7b8-7aa5-4419-87c0-e70ea5bc9077,1000,11,4
021bfe95-11cd-4f59-9e6a-bd795f35770c,1a4678dc-823a-4d53-9232-df33b287ebe8,1000,11,1
021d7999-dc68-4480-8c2a-f7c46e9dc40a,9856786f-cd09-4899-962f-571437cc4cd1,1000,11,4
021e3593-5948-40bd-beec-6b328638cba5,d979b7f7-02ef-4ea0-8c0b-7fd4be7eeb75,1000,11,3
0229dcce-8843-464a-be93-d8ac99e4c471,37389929-3295-4563-ac40-501cad9e6cc8,1000,11,2
022bb502-0510-4520-acc2-facd27fdcdab,2cb061a3-03cc-4521-b477-411e2de04883,1500,11,1
022cbd05-ec01-4e2f-aec9-95e437f194da,f46b7bdf-46b5-43df-9f0a-5dc2fcb66eb2,1000,11,7
0237e634-95f5-4b74-b83b-90826dfffbb1,5f805167-fc68-4f7d-8db3-b79c36adce27,1000,11,7
023ce377-6d81-4f89-bc05-9fc509987b3d,f5914c28-323e-4752-8513-f9f479331e63,1000,11,4
023e7a1f-b29a-47f2-b9ee-da52bc81537f,89bd26ec-e193-48cd-affb-cdfb683dfab9,3000,163,17
023fb511-6537-44d5-be0a-8fff9945ab07,517d0e8c-dc5b-407b-9f73-f615ad8c4759,1000,11,2
024161c0-18c3-472e-b93d-4b5d450e67cf,8a579ac2-b797-4170-8300-61c609509db6,1000,11,1
02429f66-dacb-4135-bec4-e9898024f77e,214198c4-bbc4-4059-b6ce-f0418132c61d,1000,11,2
02440fa1-2437-4ee1-9b02-d09c2bfe1c33,0ab49a95-a2c6-478b-80e7-1bf7f88dc5f1,10000,186,44
024aa8db-ac67-4e87-a2b2-5218274d466e,fcd40e32-1f11-48a3-b9cc-e4882996bd58,1000,11,17
024bd731-25ec-4825-9ed7-dfa012a4464b,e7e7132d-efc8-4a2a-a9ac-52de3cd25e90,1000,11,253
024fa645-d840-4599-a2ab-d1b1a707b011,3c6f8021-797b-400c-bd7f-0ea9d0a1c0c7,1000,11,3
02503cdf-0ebe-4cb5-916c-709c4c0045bf,e7a5469b-c709-48fd-9332-b3adfa863309,1000,11,4
0252b58c-14d8-45f3-a76c-0db898866643,1951fab4-c71e-49c4-8209-80f558054610,1000,11,1
025a320d-8bce-4fad-9cb2-4b41d6a2f727,9b475c44-70bb-4f04-b812-bdf3ef9c56d9,2018,21,FA
